plot_id,case_id,question,expected_type,expected_answer,condition,round_id,llm_name,llm_answer,llm_answer_is_correct,response_id,response_status,latency_ms,error
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,1,gpt-4.1,7,false,resp_076afb16854e152a0169c6615b20388190ba27f92be67915a0,completed,1576.46,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,2,gpt-4.1,7,false,resp_05eb10102f0b200a0169c6615b266c8191b59c92a65c8990f8,completed,1576.71,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,3,gpt-4.1,7,false,resp_038d0376ce2db51b0169c6615b17cc819eb2e011783c9dc87b,completed,1575.83,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,4,gpt-4.1,7,false,resp_025aea5166b93dd60169c6615b1cc88191be1a83ae926cad7c,completed,1576.75,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,5,gpt-4.1,7,false,resp_0fda8fc6e28688350169c6615ca3388193ada23c505fad9e30,completed,1536.03,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,6,gpt-4.1,7,false,resp_0679cc7aa961bff00169c6615c361c819d847c08011daedbc5,completed,826.68,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,7,gpt-4.1,7,false,resp_0e59a90cf5e6dbea0169c6615c35988192b421c3571605a558,completed,815.89,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,8,gpt-4.1,7,false,resp_0a0515b4b5cd07a40169c6615c3024819f8cb2bed41c1543aa,completed,814.7,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,9,gpt-4.1,7,false,resp_0001673ab4cbbc2c0169c6615d846c819ebe5dda7c0c5bae92,completed,2053.45,
1,1,What is the number of the bin (if numbered from left to right starting with 1) for which the highest value is achieved in category C12?,integer,11,plot_only,10,gpt-4.1,7,false,resp_0f3e3a93458567ee0169c6615d806481a3810da1a316de25b9,completed,1740.88,
